Job.Titles,Department,Annual.Salary
POLICE OFFICER,POLICE,76266
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,84054
CENTRAL VOUCHER COORDINATOR,FINANCE,38376
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,72510
BATTALION CHIEF - EMT,FIRE,149502
POLICE COMMUNICATIONS OPERATOR I,OEMC,52776
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,87006
ENGINEERING TECHNICIAN V,TRANSPORTN,80568
POLICE OFFICER,POLICE,90024
PERSONNEL ASSISTANT,POLICE,70092
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,72510
SERGEANT,POLICE,104628
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
POLICE OFFICER / FLD TRNG OFFICER,POLICE,91338
PARAMEDIC,FIRE,76266
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,48078
PARKING INVESTIGATOR,FINANCE,77484
SERGEANT,POLICE,104628
POLICE OFFICER,POLICE,87006
WEB AUTHOR,CITY CLERK,70620
LIBRARIAN III,PUBLIC LIBRARY,68796
PARAMEDIC,FIRE,97386
POLICE OFFICER,POLICE,80016
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,68616
POLICE OFFICER,POLICE,48078
ENGINEERING TECHNICIAN IV,TRANSPORTN,63228
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,80016
SERGEANT,POLICE,104628
POLICE OFFICER,POLICE,76266
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,94524
POLICE OFFICER,POLICE,76266
LIEUTENANT-EMT,FIRE,117996
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,84054
FIREFIGHTER/PARAMEDIC,FIRE,78738
POLICE OFFICER,POLICE,72510
CHIEF CONTRACT EXPEDITER,WATER MGMNT,106452
SERGEANT,POLICE,111474
POLICE OFFICER,POLICE,84054
SERGEANT,POLICE,104628
PERFORMANCE ANALYST,INSPECTOR GEN,62448
SERGEANT,POLICE,111474
POLICE OFFICER / FLD TRNG OFFICER,POLICE,91338
PARAMEDIC FIELD CHIEF,FIRE,140970
LIBRARY CLERK,PUBLIC LIBRARY,46152
FIREFIGHTER-EMT (RECRUIT),FIRE,72510
BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,92556
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,76266
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,48078
ASST TO THE COMMISSIONER,PROCUREMENT,61992
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,72510
AIRPORT OPERATIONS SUPVSR I,AVIATION,60372
POLICE OFFICER,POLICE,76266
POLICE OFFICER,POLICE,93354
PUBLIC HEALTH ADMINISTRATOR II,HEALTH,84420
DIR OF FACILITIES MANAGEMENT,POLICE,111192
POLICE OFFICER,POLICE,93354
PERSONAL COMPUTER OPERATOR II,WATER MGMNT,63876
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,98052
LIEUTENANT,POLICE,127692
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,97440
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,103932
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,94122
FIREFIGHTER-EMT,FIRE,89148
FIREFIGHTER-EMT,FIRE,80868
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,103932
DIR OF INFORMATION SYSTEMS,DoIT,118932
DIRECTOR OF FINANCE,OEMC,96720
POLICE OFFICER,POLICE,48078
FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,112854
FIREFIGHTER-EMT,FIRE,89148
ASST CHIEF AIRPORT OPERATIONS SUPVSR,AVIATION,111456
PARAMEDIC,FIRE,56304
DEPUTY MANAGING EDITOR COUNCIL JOURNAL,CITY CLERK,107220
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,87006
SERGEANT,POLICE,104628
FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,105804
ASST CORPORATION COUNSEL SUPVSR,LAW,126228
POLICE OFFICER,POLICE,76266
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,93354
BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,92556
PARKING ENFORCEMENT AIDE,FINANCE,58644
PARKING INVESTIGATOR,FINANCE,68556
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,90024
DETENTION AIDE,POLICE,67464
CLERK III,HEALTH,58248
POLICE OFFICER,POLICE,84054
PARAMEDIC,FIRE,56304
